,Unnamed: 0,Unnamed: 0.1,Participant,Trial,Drums,Tempo Ratio,pair,file_name,Liking,Connection,IOS,Difficulty,Pupil Size,Trial Length,LHIPA,Blinks,audioStart,audioEnd,Beat Variance,Recording Length,Calculated Length,File Length,Beat Mean,Bonding,120-080,120-113,120-120,diff,same,Age,Sex,Handedness,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Perceptual Ability
480,480,480,81,1,diff,120-120,J-A,videoStim/120-120_diff_J-A.mp4,49.81481481,77.68518519,90.74074074,15.46296296,4.521173977,7000,5.061361968,1,3053034,4281340,0.026643351,1228306,1228306,14998528,0.337538853,72.74691358,0,0,1,1,0,21,Male,Right,7.0,8.0,8.0,10.0,6.0,39.0
481,481,481,81,2,diff,120-113,M-A,videoStim/120-113_diff_M-A.mp4,50.74074074,89.72222222,95.60185185,24.35185185,4.439317642,7011,5.150073558,1,5787800,7014552,0.011548962,1226752,1226752,14998528,0.277448689,78.6882716,0,1,0,1,0,21,Male,Right,7.0,8.0,8.0,10.0,6.0,39.0
482,482,482,81,3,diff,120-080,M-J,videoStim/120-080_diff_M-J.mp4,61.75925926,72.12962963,69.21296296,35.55555556,4.318680608,6939,5.122292895,2,7832282,9055592,0.0167446,1223310,1223310,14998528,0.291997172,67.70061728,1,0,0,1,0,21,Male,Right,7.0,8.0,8.0,10.0,6.0,39.0
483,483,483,81,4,diff,120-080,J-M,videoStim/120-080_diff_J-M.mp4,61.2037037,94.62962963,96.99074074,8.240740741,4.17955059,6955,4.946687424,4,9623742,10866906,0.005945881,1243164,1243164,14998528,0.481965493,84.27469136,1,0,0,1,0,21,Male,Right,7.0,8.0,8.0,10.0,6.0,39.0
484,484,484,81,5,diff,120-113,A-J,videoStim/120-113_diff_A-J.mp4,59.44444444,78.98148148,71.2962963,21.2962963,4.31450771,7025,5.204663611,0,11472605,12700113,0.026293813,1227508,1227508,14998528,0.397812458,69.90740741,0,1,0,1,0,21,Male,Right,7.0,8.0,8.0,10.0,6.0,39.0
485,485,485,81,6,diff,120-120,A-M,videoStim/120-120_diff_A-M.mp4,54.90740741,90.55555556,89.58333333,16.2037037,4.073419268,6965,5.150246901,2,13236642,14464393,0.018286774,1227751,1227751,14998528,0.43057475,78.34876543,0,0,1,1,0,21,Male,Right,7.0,8.0,8.0,10.0,6.0,39.0
486,486,486,82,1,same,120-120,M-A,videoStim/120-120_same_M-A.mp4,91.01851852,78.88888889,75.69444444,17.22222222,5.076607674,4797,3.547342769,9,2121933,3352947,0.01442518,1231014,1231014,13129248,0.425883454,81.86728395,0,0,1,0,1,19,Female,Right,6.0,7.0,10.0,7.0,3.0,50.0
487,487,487,82,2,same,120-113,A-M,videoStim/120-113_same_A-M.mp4,69.53703704,75.92592593,78.24074074,27.5,5.458939411,4795,3.506800526,8,4314622,5550014,0.011483353,1235392,1235392,13129248,0.449986707,74.56790123,0,1,0,0,1,19,Female,Right,6.0,7.0,10.0,7.0,3.0,50.0
488,488,488,82,3,same,120-080,A-J,videoStim/120-080_same_A-J.mp4,89.35185185,98.7962963,89.12037037,26.48148148,5.086565497,5675,3.983564072,11,6064502,7293723,0.077926965,1229221,1229221,13129248,0.407639204,92.42283951,1,0,0,0,1,19,Female,Right,6.0,7.0,10.0,7.0,3.0,50.0
489,489,489,82,4,same,120-113,J-M,videoStim/120-113_same_J-M.mp4,79.62962963,89.90740741,72.91666667,28.98148148,4.939033818,6144,4.401708878,11,7726200,8956436,0.012773042,1230236,1230236,13129248,0.449569542,80.81790123,0,1,0,0,1,19,Female,Right,6.0,7.0,10.0,7.0,3.0,50.0
490,490,490,82,5,same,120-120,J-A,videoStim/120-120_same_J-A.mp4,78.42592593,74.44444444,57.40740741,40.09259259,4.585213409,5576,3.950134991,11,9387665,10621816,0.010096031,1234151,1234151,13129248,0.458298935,70.09259259,0,0,1,0,1,19,Female,Right,6.0,7.0,10.0,7.0,3.0,50.0
491,491,491,82,6,same,120-080,M-J,videoStim/120-080_same_M-J.mp4,88.61111111,89.35185185,80.78703704,39.25925926,4.775731431,3164,3.202279172,3,11030644,12258441,0.020062121,1227797,1227797,13129248,0.379259259,86.25,1,0,0,0,1,19,Female,Right,6.0,7.0,10.0,7.0,3.0,50.0
